ランキング,タイトル,総合得点(点),評価件数(件),お気に入り人数(人),評価,物語,作画,声優,音楽,キャラ,ジャンル,放送時期,制作会社,声優陣
281,無職転生 ～異世界行ったら本気だす（TVアニメ動画）,83.5,533,1992,4.0,3.9,4.2,4.0,3.8,3.9,TVアニメ動画,2021年冬アニメ,スタジオバインド,内山夕実、小原好美、加隈亜衣、茅野愛衣、森川智之、金元寿子、Lynn、浪川大輔
282,リズと青い鳥（アニメ映画）,83.4,429,1821,4.1,3.9,4.3,4.0,4.2,4.0,アニメ映画,2018年4月21日,京都アニメーション,種﨑敦美、東山奈央、藤村鼓乃美、山岡ゆり、杉浦しおり、黒沢ともよ、朝井彩加、豊田萌絵、安済知佳、桑島法子、中村悠一、櫻井孝宏
283,這いよれ！ニャル子さん（TVアニメ動画）,83.3,2964,16276,3.7,3.3,3.7,3.8,3.7,3.8,TVアニメ動画,2012年春アニメ,ジーベック,阿澄佳奈、喜多村英梨、松来未祐、釘宮理恵、新井里美、國府田マリ子、久川綾、羽多野渉、大坪由佳、草尾毅、島田敏
284,あそびあそばせ（TVアニメ動画）,83.3,815,3473,3.8,3.7,3.8,3.9,3.6,4.0,TVアニメ動画,2018年夏アニメ,ラルケ,木野日菜、長江里加、小原好美、置鮎龍太郎、井上ほの花、金澤まい、戸田めぐみ、悠木碧、前川涼子、増谷康紀、斎賀みつき、筆村栄心、伊沢磨紀
285,問題児たちが異世界から来るそうですよ？（TVアニメ動画）,83.1,2731,16146,3.6,3.6,3.7,3.6,3.5,3.8,TVアニメ動画,2013年冬アニメ,ディオメディア,浅沼晋太郎、野水伊織、ブリドカットセーラ恵美、中島愛、五十嵐裕美、三上枝織、新井里美
286,まおゆう魔王勇者（TVアニメ動画）,83.1,2468,14370,3.7,3.7,3.7,3.8,3.5,3.7,TVアニメ動画,2013年冬アニメ,ARMS,小清水亜美、福山潤、斎藤千和、戸松遥、東山奈央、沢城みゆき、神谷浩史、福圓美里、平川大輔、銀河万丈、鈴木達央、寺島拓篤、伊藤静、藤井麻理子、松井恵理子、三宅健太、立花慎之介、梶裕貴、チョー、町田政則、東地宏樹、森川智之、大塚芳忠
287,ダーリン・イン・ザ・フランキス（TVアニメ動画）,83.1,956,4131,3.7,3.5,3.9,3.8,3.7,3.7,TVアニメ動画,2018年冬アニメ,トリガー / A-1 Pictures,上村祐翔、戸松遥、梅原裕一郎、市ノ瀬加那、田村睦心、山下七海、後藤ヒロキ、早見沙織、市川蒼、石上静香、小西克幸、井上麻里奈、堀内賢雄
288,かくしごと（TVアニメ動画）,83.1,629,2197,3.9,3.9,3.8,3.9,3.9,3.9,TVアニメ動画,2020年春アニメ,亜細亜堂,神谷浩史、高橋李依、花江夏樹、八代拓、安野希世乃、佐倉綾音、村瀬歩、内田真礼、加藤英美里、浪川大輔、小澤亜李、本渡楓、和氣あず未、逢田梨香子、古城門志帆、原由実、小山力也、沼倉愛美
289,アカメが斬る！（TVアニメ動画）,83.0,1973,10856,3.8,3.8,3.8,3.8,3.7,3.9,TVアニメ動画,2014年夏アニメ,WHITE FOX,雨宮天、斉藤壮馬、田村ゆかり、浅川悠、能登麻美子、松岡禎丞、小西克幸、水野理紗、明坂聡美、花澤香菜、細谷佳正、大橋彩香、成田剣、竹本英史、間島淳司、中田譲治、生天目仁美、勝杏里、名塚佳織、浅沼晋太郎、木村良平
290,カードキャプターさくら クロウカード編（TVアニメ動画）,83.0,946,5542,4.1,4.1,3.9,4.0,4.0,4.3,TVアニメ動画,1998年春アニメ,マッドハウス,丹下桜、久川綾、小野坂昌也、岩男潤子、くまいもとこ、緒方恵美、関智一、田中秀幸、ゆかな、林一夫、冬馬由美、小西克幸
291,SSSS.GRIDMAN（TVアニメ動画）,83.0,852,3399,3.8,3.6,3.9,3.7,3.8,3.8,TVアニメ動画,2018年秋アニメ,トリガー,広瀬裕也、緑川光、斉藤壮馬、宮本侑芽、上田麗奈、高橋良輔、小西克幸、悠木碧、松風雅也、鈴村健一、稲田徹、新谷真弓、三森すずこ、鬼頭明里
292,やはり俺の青春ラブコメはまちがっている。完（TVアニメ動画）,83.0,560,2360,4.0,3.8,4.0,4.0,3.9,4.1,TVアニメ動画,2020年夏アニメ,feel.,江口拓也、早見沙織、東山奈央、佐倉綾音、悠木碧、小松未可子、近藤隆、檜山修之、柚木涼香、中原麻衣、井上麻里奈、ささきのぞみ、小清水亜美、堀井茶渡
293,劇場版幼女戦記（アニメ映画）,83.0,386,1954,4.1,4.0,4.2,4.1,4.0,4.1,アニメ映画,2019年2月8日,NUT,悠木碧、早見沙織、三木眞一郎、玄田哲章、大塚芳忠、飛田展男、濱野大輝、笠間淳、林大地、小林裕介、土師孝也、小柳良寛、高岡瓶々、森川智之、福島潤、田村睦心、戸松遥、チョー、稲垣隆史
294,アウトブレイク・カンパニー 萌える侵略者（TVアニメ動画）,82.9,2060,11737,3.7,3.7,3.7,3.8,3.6,3.9,TVアニメ動画,2013年秋アニメ,feel.,花江夏樹、三森すずこ、渕上舞、内田真礼、上坂すみれ、藤原啓治、三木眞一郎、一条和矢
295,GATE(ゲート) 自衛隊 彼の地にて、斯く戦えり（TVアニメ動画）,82.9,1748,9579,3.9,3.9,3.9,3.8,3.7,3.9,TVアニメ動画,2015年夏アニメ,A1 Pictures,諏訪部順一、金元寿子、東山奈央、種田梨沙、戸松遥、日笠陽子、内田真礼、安元洋貴、石川界人
296,銀の匙 Silver Spoon（TVアニメ動画）,82.9,1677,8974,3.9,4.1,3.8,3.7,3.7,3.9,TVアニメ動画,2013年夏アニメ,A-1 Pictures,木村良平、三宅麻理恵、櫻井トオル、高垣彩陽、島﨑信長、庄司将之、高梨謙吾、こぶしのぶゆき、井澤詩織、小西克幸、増谷康紀、三ツ矢雄二、小野友樹、水島大宙、田野アサミ、川原慶久、西村朋紘、内海賢二
297,リトルバスターズ！ 〜Refrain〜（TVアニメ動画）,83.1,1466,7313,4.0,4.1,4.0,4.0,4.1,4.1,TVアニメ動画,2013年秋アニメ,J.C.STAFF,堀江由衣、たみやすともえ、緑川光、神奈延年、織田優成、やなせなつみ、すずきけいこ、若林直美、田中涼子、河原木志穂
298,新世紀エヴァンゲリオン Air／まごころを、君に（アニメ映画）,82.8,1369,8046,4.0,3.9,4.0,4.1,4.1,4.1,アニメ映画,1997年7月19日,GAINAX / プロダクションI.G,緒方恵美、三石琴乃、林原めぐみ、宮村優子、石田彰、山口由里子、立木文彦、清川元夢、山寺宏一、関智一、岩永哲哉、優希比呂、長沢美樹、子安武人
299,おおきく振りかぶって（TVアニメ動画）,82.8,1553,7980,4.0,4.2,3.8,3.9,3.8,4.1,TVアニメ動画,2007年春アニメ,A-1 Pictures,代永翼、中村悠一、谷山紀章、下野紘、佐藤雄大、鈴木千尋、保村真、角研一郎、福山潤、木村良平、早水リサ、室園丈裕、福圓美里、私市淳
300,機動戦士ガンダム 逆襲のシャア（アニメ映画）,82.8,833,4166,4.1,4.1,4.1,4.2,4.1,4.2,アニメ映画,1988年3月12日,サンライズ,古谷徹、池田秀一、鈴置洋孝、榊原良子、白石冬美、川村万梨阿、弥生みつき、佐々木望、山寺宏一、伊倉一恵、安達忍、潘恵子
301,デートアライブ [Date A Live]（TVアニメ動画）,82.7,2367,14272,3.7,3.5,3.8,3.7,3.5,3.9,TVアニメ動画,2013年春アニメ,,
302,そらのおとしもの（TVアニメ動画）,82.7,1964,11411,3.8,3.7,3.8,3.8,3.7,4.0,TVアニメ動画,2009年秋アニメ,AIC,保志総一朗、早見沙織、美名、鈴木達央、高垣彩陽、野水伊織
303,女子高生の無駄づかい（TVアニメ動画）,82.7,705,2726,3.8,3.8,3.7,4.0,3.7,4.1,TVアニメ動画,2019年夏アニメ,パッショーネ,赤﨑千夏、戸松遥、豊崎愛生、長縄まりあ、富田美憂、高橋李依、佐藤聡美、M・A・O、興津和幸
304,GUNSLINGER GIRL [ガンスリンガーガール]（TVアニメ動画）,82.6,1081,7247,3.8,4.0,3.8,3.7,3.8,3.9,TVアニメ動画,2003年秋アニメ,マッドハウス,南里侑香、木内秀信、三橋加奈子、宮本充、仙台エリ、江原正士、小清水亜美、堀内賢雄、寺門仁美、井上倫宏、家中宏、中川里江、岩崎征実
305,Dr.STONE（TVアニメ動画）,82.8,605,2540,3.8,4.0,3.7,3.8,3.7,3.8,TVアニメ動画,2019年夏アニメ,トムス・エンタテインメント,小林裕介、古川慎、佐藤元、中村悠一、市ノ瀬加那、沼倉愛美、前野智昭、村瀬歩、上田麗奈、高橋花林、河西健吾、麦人
306,劇場版『Fate／stay night Heaven’s Feel』 第二章（アニメ映画）,82.6,353,1794,4.2,4.1,4.4,4.2,4.1,4.2,アニメ映画,2019年1月12日,ufotable,杉山紀彰、下屋則子、神谷浩史、川澄綾子、植田佳奈、伊藤美紀、中田譲治、津嘉山正種、水沢史絵、真殿光昭、小山力也、関智一、浅川悠、諏訪部順一、門脇舞以、七緒はるひ、宮川美保、稲田徹
307,荒川アンダーザブリッジ（TVアニメ動画）,82.5,2438,13249,3.8,3.7,3.7,4.0,3.7,4.1,TVアニメ動画,2010年春アニメ,シャフト,坂本真綾、神谷浩史、藤原啓治、杉田智和、子安武人、沢城みゆき、斎藤千和、大塚芳忠、小見川千明、三瓶由布子、新谷良子、小山力也、チョー、田中理恵、中村悠一、立木文彦、後藤邑子、小林ゆう
308,たまこラブストーリー（アニメ映画）,82.5,1191,6318,4.1,4.1,4.3,4.0,3.9,4.1,アニメ映画,2014年4月26日,京都アニメーション,洲崎綾、田丸篤志、金子有希、長妻樹里、山下百合恵、日高里菜、藤原啓治、日笠陽子、西村知道、立木文彦、ゆきのさつき、小野大輔、辻谷耕史、津久井教生、岩男潤子、渡辺久美子、家中宏、成田剣、川原慶久、山下大輝、野坂尚也
309,琴浦さん（TVアニメ動画）,82.4,2388,12058,3.6,3.7,3.5,3.7,3.6,3.7,TVアニメ動画,2013年冬アニメ,AIC,金元寿子、福島潤、花澤香菜、久保ユリカ、下野紘
310,フルーツバスケット [スタジオディーン版]（TVアニメ動画）,82.4,865,4817,3.9,4.1,3.5,3.8,3.9,4.1,TVアニメ動画,2001年夏アニメ,スタジオディーン,堀江由衣、久川綾、関智一、置鮎龍太郎、今井由香、安原麗子、三石琴乃、齋藤彩夏、井上和彦
311,この世界の片隅に（アニメ映画）,82.4,622,2781,4.2,4.3,4.2,4.2,4.0,4.2,アニメ映画,2016年11月12日,MAPPA,のん、細谷佳正、稲葉菜月、尾身美詞、小野大輔、潘めぐみ、牛山茂、新谷真弓、澁谷天外
312,きんいろモザイク（TVアニメ動画）,82.3,1824,8894,3.8,3.6,3.8,3.9,3.7,4.1,TVアニメ動画,2013年夏アニメ,Studio五組,西明日香、田中真奈美、種田梨沙、内山夕実、東山奈央、田村ゆかり、佐藤聡美
313,ReLIFE（TVアニメ動画）,82.3,1279,6467,3.8,3.9,3.7,3.8,3.8,3.9,TVアニメ動画,2016年夏アニメ,トムス・エンタテインメント,小野賢章、茅野愛衣、木村良平、戸松遥、内田雄馬、上田麗奈
314,ピンポン（TVアニメ動画）,82.3,1535,6317,4.1,4.3,4.0,4.0,4.0,4.2,TVアニメ動画,2014年春アニメ,タツノコプロ,片山福十郎、内山昂輝、咲野俊介、木村昴、文曄星、野沢雅子、屋良有作
315,劇場版『Fate／stay night Heaven’s Feel』 第一章（アニメ映画）,82.3,501,2904,4.2,4.1,4.5,4.2,4.2,4.2,アニメ映画,2017年10月14日,ufotable,杉山紀彰、下屋則子、神谷浩史、川澄綾子、植田佳奈、伊藤美紀、中田譲治、津嘉山正種、水沢史絵、真殿光昭、小山力也、神奈延年、関智一、浅川悠、三木眞一郎、田中敦子、諏訪部順一、てらそままさき、門脇舞以
316,神様のメモ帳（TVアニメ動画）,82.2,2547,13769,3.7,3.6,3.8,3.7,3.6,3.7,TVアニメ動画,2011年夏アニメ,J.C.STAFF,小倉唯、松岡禎丞、茅野愛衣、生天目仁美、松風雅也、宮田幸季、櫻井孝宏、小野大輔
317,パパのいうことを聞きなさい！（TVアニメ動画）,82.2,2414,12321,3.7,3.5,3.7,3.8,3.6,3.9,TVアニメ動画,2012年冬アニメ,feel.,羽多野渉、上坂すみれ、喜多村英梨、五十嵐裕美、堀江由衣、小野大輔、間島淳司、大原さやか
318,黄昏乙女×アムネジア（TVアニメ動画）,82.2,1721,8721,3.9,3.8,3.9,3.8,3.8,3.9,TVアニメ動画,2012年春アニメ,SILVER LINK.,代永翼、原由実、福圓美里、喜多村英梨
319,ゲーマーズ！（TVアニメ動画）,82.2,1018,4724,3.6,3.6,3.4,3.7,3.5,3.8,TVアニメ動画,2017年夏アニメ,PINE JAM,潘めぐみ、金元寿子、石見舞菜香、大久保瑠美、豊永利行
320,グリザイアの果実（TVアニメ動画）,82.0,1779,10666,3.8,3.8,3.8,3.8,3.7,3.9,TVアニメ動画,2014年秋アニメ,エイトビット,櫻井孝宏、田中涼子、田口宏子、水橋かおり、たみやすともえ、清水愛、やなせなつみ、鳴海エリカ
321,ディーふらぐ！（TVアニメ動画）,82.0,1844,10257,3.8,3.7,3.7,3.9,3.6,4.0,TVアニメ動画,2014年冬アニメ,ブレインズ・ベース,小西克幸、花澤香菜、伊藤静、斎藤千和、高橋美佳子、小清水亜美、福山潤、豊崎愛生、加藤英美里
322,persona4 the ANIMATION（TVアニメ動画）,81.9,1894,10380,3.9,3.8,3.7,3.8,4.0,3.9,TVアニメ動画,2011年秋アニメ,,
323,輪るピングドラム（TVアニメ動画）,82.0,2001,10168,3.8,3.8,3.8,3.6,3.9,3.8,TVアニメ動画,2011年夏アニメ,ブレインズ・ベース,木村昴、木村良平、荒川美穂、三宅麻理恵、石田彰、能登麻美子、堀江由衣
324,アルドノア・ゼロ(第2期)（TVアニメ動画）,81.9,1628,9418,3.9,3.7,4.1,3.8,4.0,3.8,TVアニメ動画,2015年冬アニメ,A-1 Pictures / TROYCA,花江夏樹、小野賢章、雨宮天、三澤紗千香、小松未可子、村田太志、加隈亜衣、大原さやか、中井和哉、鳥海浩輔、茅野愛衣、嶋村侑、水瀬いのり、大川透、平川大輔、夏川椎菜、興津和幸、千葉進歩、竹内良太、豊永利行、生天目仁美、三宅健太、木島隆一、逢坂良太
325,天気の子（アニメ映画）,82.0,549,2325,3.9,3.7,4.5,3.7,4.0,3.7,アニメ映画,2019年7月19日,コミックス・ウェーブ・フィルム,醍醐虎汰朗、森七菜、本田翼、吉柳咲良、平泉成、梶裕貴、倍賞千恵子、小栗旬
326,劇場版 メイドインアビス -深き魂の黎明-（アニメ映画）,81.9,264,1304,4.2,4.2,4.4,4.2,4.1,4.2,アニメ映画,2020年1月17日,キネマシトラス,富田美憂、伊瀬茉莉也、井澤詩織、森川智之、水瀬いのり
327,シン・エヴァンゲリオン劇場版：||（アニメ映画）,81.9,202,917,4.4,4.2,4.5,4.4,4.4,4.3,アニメ映画,2021年3月8日,スタジオカラー,緒方恵美、林原めぐみ、宮村優子、坂本真綾、三石琴乃、山口由里子、立木文彦、清川元夢
328,これはゾンビですか？ OF THE DEAD（TVアニメ動画）,81.8,1858,11233,3.7,3.6,3.7,3.8,3.6,4.0,TVアニメ動画,2012年春アニメ,スタジオディーン,間島淳司、野水伊織、月宮みどり、日笠陽子、金元寿子、吉野裕行、清水愛、下屋則子、山口理恵、美名、喜多丘千陽、生天目仁美
329,マギ（TVアニメ動画）,81.8,1633,9455,3.8,3.8,3.8,3.9,3.7,3.9,TVアニメ動画,2012年秋アニメ,A-1 Pictures,石原夏織、梶裕貴、戸松遥、小野大輔、木村良平、櫻井孝宏、細谷佳正、森久保祥太郎、堀江由衣、大久保瑠美、羽多野渉、杉田智和、藤原啓治、水樹奈々、瀬戸麻沙美、花澤香菜、小野賢章、福山潤、森川智之
330,けものフレンズ（TVアニメ動画）,81.8,1136,4371,3.7,3.8,3.3,3.6,3.9,4.0,TVアニメ動画,2017年冬アニメ,ヤオヨロズ,尾崎由香、本宮佳奈、小野早稀、内田彩、佐々木未来、根本流風、田村響華、相羽あいな、築田行子、近藤玲奈、津田美波、藤井ゆきよ
331,灼眼のシャナII（TVアニメ動画）,81.7,1856,11344,3.8,3.8,3.7,4.0,3.8,3.9,TVアニメ動画,2007年秋アニメ,J.C.STAFF,釘宮理恵、日野聡、江原正士、川澄綾子、生天目仁美、岩田光央、伊藤静、渡辺明乃、野島裕史、野島健児、近藤孝行、小林由美子、櫻井智、三宅健太、大原さやか、能登麻美子、諏訪部順一、こやまきみこ、田村ゆかり、白石涼子
332,残響のテロル（TVアニメ動画）,81.8,2075,10999,3.7,3.7,3.9,3.7,3.7,3.6,TVアニメ動画,2014年夏アニメ,MAPPA,石川界人、斉藤壮馬、種﨑敦美、咲野俊介、潘めぐみ
333,有頂天家族（TVアニメ動画）,81.7,1614,7799,3.9,4.0,3.9,3.9,3.8,4.0,TVアニメ動画,2013年夏アニメ,ピーエーワークス,櫻井孝宏、諏訪部順一、吉野裕行、中原麻衣、能登麻美子、井上喜久子、石原凡、佐倉綾音、梅津秀行、飛田展男、西地修哉、畠山航輔、樋口武彦
